type,time
invalid,0.004014699999970617
invalid,0.004330900000240945
invalid,0.003756500000235974
invalid,0.003527199999552977
invalid,0.0036547999998219893
invalid,0.004034499999761465
invalid,0.0045315999996091705
invalid,0.0038248000000749016
invalid,0.003679599999486527
invalid,0.004072300000188989
invalid,0.0038088000001152977
invalid,0.0036909000000378
invalid,0.0032719999999244465
invalid,0.00332799999978306
invalid,0.0038302000002659042
invalid,0.003327700000227196
invalid,0.0033622000000832486
invalid,0.0034459999997125124
invalid,0.005124799999975949
invalid,0.0036789999994653044
invalid,0.003728100000444101
invalid,0.0035117999996145954
invalid,0.003662600000097882
invalid,0.0037842000001546694
invalid,0.0034730999996099854
invalid,0.0034650000006877235
invalid,0.003442700000050536
invalid,0.00388569999995525
invalid,0.003792999999859603
invalid,0.0033861000001707
invalid,0.0034267999999428866
invalid,0.0033542999999554013
invalid,0.0038279999998849235
invalid,0.003522500000144646
invalid,0.0033795999997892068
invalid,0.0034720000003289897
invalid,0.0036498999998002546
invalid,0.003709599999638158
invalid,0.004049500000292028
invalid,0.003617100000155915
invalid,0.0036215999998603365
invalid,0.004433199999766657
invalid,0.0034747999998216983
invalid,0.003420699999878707
invalid,0.0034447999996700673
invalid,0.0034679999998843414
invalid,0.0039047000000209664
invalid,0.0037088999997649807
invalid,0.0033912000008058385
invalid,0.0033429000004616682
invalid,0.0037575999995169695
invalid,0.0035490000000208966
invalid,0.003380500000275788
invalid,0.0034550999998828047
invalid,0.0034587000000101398
invalid,0.004286600000341423
invalid,0.0036220000001776498
invalid,0.0036692000003313296
invalid,0.0037555999997493927
invalid,0.004176499999630323
invalid,0.003703299999870069
invalid,0.0036104000000705128
invalid,0.003513599999678263
invalid,0.003539400000590831
invalid,0.003929999999854772
invalid,0.004093599999578146
invalid,0.0035385999999562046
invalid,0.003347300000314135
invalid,0.0037120999995750026
invalid,0.0036130999997112667
invalid,0.003451399999903515
invalid,0.0034473000005164067
invalid,0.0033878999993248726
invalid,0.00398360000053799
invalid,0.004049400000440073
invalid,0.003578199999537901
invalid,0.0035472999998091836
invalid,0.003919600000699575
invalid,0.003828599999906146
invalid,0.0035268000001451583
invalid,0.003614999999626889
invalid,0.0033387000003131106
invalid,0.003657799999928102
invalid,0.0032073999991553137
invalid,0.0032603999998173094
invalid,0.003335299999889685
invalid,0.003289999999651627
invalid,0.003853000000162865
invalid,0.003320499999972526
invalid,0.003152799999952549
invalid,0.0032412999998996384
invalid,0.004245800000717281
invalid,0.0035208999997848878
invalid,0.0032622999997329316
invalid,0.0033092000003307476
invalid,0.0031937999992806
invalid,0.003444800000579562
invalid,0.0033879000002343673
invalid,0.003240899999582325
invalid,0.0031401999995068763
valid,0.026334099999985483
valid,0.028135699999438657
valid,0.02809419999994134
valid,0.02672530000018014
valid,0.027016600000024482
valid,0.02749279999989085
valid,0.026928299999781302
valid,0.026534100000390026
valid,0.02735480000046664
valid,0.027531599999747414
valid,0.02836589999969874
valid,0.02695990000029269
valid,0.026873300000261224
valid,0.02716580000014801
valid,0.02738619999945513
valid,0.02663369999936549
valid,0.026972399999976915
valid,0.026058499999635387
valid,0.026255299999320414
valid,0.027619500000582775
valid,0.02686549999998533
valid,0.027919899999687914
valid,0.027027799999814306
valid,0.026528000000325846
valid,0.026544700000158628
valid,0.026597800000672578
valid,0.02660939999987022
valid,0.027244099999734317
valid,0.02704150000045047
valid,0.026847299999644747
valid,0.027638399999887042
valid,0.028312200000073062
valid,0.027754100000493054
valid,0.027855299999828276
valid,0.028608799999346957
valid,0.02726669999992737
valid,0.02774509999926522
valid,0.027409500000430853
valid,0.02708230000007461
valid,0.027022300000680843
valid,0.026866700000027777
valid,0.02649100000053295
valid,0.0270593999994162
valid,0.027452300000732066
valid,0.02719150000029913
valid,0.027202999999644817
valid,0.027219900000091002
valid,0.027188699999896926
valid,0.02779370000007475
valid,0.02737009999964357
valid,0.025884799999403185
valid,0.027378499999940686
valid,0.02769780000016908
valid,0.02694439999959286
valid,0.028204299999742943
valid,0.02740319999975327
valid,0.027423099999396072
valid,0.026845999999750347
valid,0.02738729999964562
valid,0.026851100000385486
valid,0.02663510000002134
valid,0.026424199999382836
valid,0.027059299999564246
valid,0.027630199999293836
valid,0.026961399999891
valid,0.0257952000001751
valid,0.027549399999770685
valid,0.02797199999986333
valid,0.027658700000756653
valid,0.027653600000121514
valid,0.026885000000220316
valid,0.02693600000020524
valid,0.02698210000016843
valid,0.027589999999690917
valid,0.027037400000153866
valid,0.027325199999722827
valid,0.02702159999989817
valid,0.0270423000001756
valid,0.02673609999965265
valid,0.02669049999985873
valid,0.027929799999583338
valid,0.026476900000488968
valid,0.02712260000043898
valid,0.02757370000017545
valid,0.026914499999293184
valid,0.029586799999378854
valid,0.027384799999708775
valid,0.030948000000535103
valid,0.027891100000488223
valid,0.02745279999999184
valid,0.02670380000017758
valid,0.02654919999986305
valid,0.026965700000801007
valid,0.02692509999997128
valid,0.02696060000016587
valid,0.027126500000122178
valid,0.027135399999679066
valid,0.027881500000148662
valid,0.027654200000142737
valid,0.02767299999959505
